species_name,taxonomic_family,taxonomic_order,asdawas,beak_length,weight_g,nocturnal_diurnal,brrrrkk,diet_types,closest_relatives,latitude,longitude,altitude_m,habitat_type,weather_condition,temperature_c,observation_time
Haemorhous mexicanus,Fringillidae,Passeriformes,8.91156072292315,1.2084595336364425,22.63545835787437,Diurnal,2025-07-20,{'seeds': 1.0},"['Haemorhous purpureus', 'Haemorhous cassinii']",32.346401128781864,-91.0332914317774,557.0704794605397,Urban,Cloudy,19.23505378184511,07:55
Pica pica,Corvidae,Passeriformes,18.831008742960407,3.464735162654236,221.92765952254362,Diurnal,2024-12-20,"{'insects': 0.5, 'carrion': 0.3, 'seeds': 0.2}",['Pica hudsonia'],38.44235705433985,-123.20837942455418,716.3898689319495,Grassland,Windy,26.60126383416036,15:12
Pica pica,Corvidae,Passeriformes,21.63353417277567,3.5949562606268004,230.1582173720443,Diurnal,2025-01-03,"{'insects': 0.5, 'carrion': 0.3, 'seeds': 0.2}",['Pica hudsonia'],43.831044771135495,-90.37110890379111,206.67436170278563,Grassland,Clear,20.507738467172867,11:50
Pica pica,Corvidae,Passeriformes,23.18382963142322,3.4700125485006303,158.51419855774503,Diurnal,2025-08-21,"{'insects': 0.5, 'carrion': 0.3, 'seeds': 0.2}",['Pica hudsonia'],28.62626825134244,-76.05409117462847,481.6403826849296,Grassland,Windy,22.431281513307184,11:53
Haemorhous mexicanus,Fringillidae,Passeriformes,10.638866645642473,1.0719910850988565,23.33667479751527,Diurnal,2025-03-31,{'seeds': 1.0},"['Haemorhous purpureus', 'Haemorhous cassinii']",35.5141087396012,-93.53213903440076,406.6672733731132,Urban,Windy,19.5393255598623,13:14
Strix varia,Strigidae,Strigiformes,37.332625529972596,4.585921518980133,713.3383593726572,Nocturnal,2025-07-27,"{'insects': 0.6, 'rodents': 0.4}","['Strix aluco', 'Strix occidentalis']",40.0670793699089,-124.4383530281495,427.64883332309927,Forest,Rainy,14.592095215446621,19:09
Gavia immer,Gaviidae,Gaviiformes,71.67413910477201,9.29676679607718,4111.217366919279,Diurnal,2025-03-27,"{'fish': 0.9, 'crustaceans': 0.1}",['Gavia adamsii'],37.058693018542826,-112.41847582377966,176.6978464771667,Wetland,Clear,25.79332688481542,10:49
Cygnus olor,Anatidae,Anseriformes,126.71375640094358,9.40921422520799,11168.703357543747,Diurnal,2025-01-27,"{'plants': 0.9, 'insects': 0.1}",['Cygnus atratus'],27.430517430428054,-91.77727696845595,166.34122569283946,Wetland,Rainy,19.647419508922013,08:30
Gavia immer,Gaviidae,Gaviiformes,67.97931055986457,9.245940487245365,4122.460164771496,Diurnal,2025-02-10,"{'fish': 0.9, 'crustaceans': 0.1}",['Gavia adamsii'],47.50311302168022,-70.45498297940884,199.71972663220066,Wetland,Rainy,18.210155649984884,16:35
Gavia immer,Gaviidae,Gaviiformes,65.97944177598126,10.009747283891056,5330.661504809291,Diurnal,2025-02-15,"{'fish': 0.9, 'crustaceans': 0.1}",['Gavia adamsii'],30.46566681044924,-99.84135513288403,72.68022410191931,Wetland,Clear,22.66263984383508,12:37
Gavia immer,Gaviidae,Gaviiformes,67.01345272263245,9.294859727503901,4321.018113347685,Diurnal,2025-04-04,"{'fish': 0.9, 'crustaceans': 0.1}",['Gavia adamsii'],24.73085591487472,-76.76699524075056,83.1253713607309,Wetland,Foggy,14.738438837338984,14:39
Strix varia,Strigidae,Strigiformes,35.17036297578529,4.407034383070856,690.9731228680185,Nocturnal,2025-06-01,"{'insects': 0.6, 'rodents': 0.4}","['Strix aluco', 'Strix occidentalis']",48.17224864233819,-81.6429164960241,554.0377054935419,Forest,Cloudy,24.41310459162616,00:33
Gavia immer,Gaviidae,Gaviiformes,70.59266748199667,9.351398134028289,4940.126774767945,Diurnal,2025-03-23,"{'fish': 0.9, 'crustaceans': 0.1}",['Gavia adamsii'],46.79001790978989,-110.11054589529834,205.04391036195054,Wetland,Foggy,15.845137804506358,13:24
Cygnus olor,Anatidae,Anseriformes,120.81718090630743,9.424229410454675,10974.050418419445,Diurnal,2025-08-25,"{'plants': 0.9, 'insects': 0.1}",['Cygnus atratus'],34.78474875348691,-123.90463915182234,182.37014299266139,Wetland,Windy,30.213072410210827,13:13
Gavia immer,Gaviidae,Gaviiformes,70.37152240086678,9.675667245308036,4657.589375945298,Diurnal,2025-06-19,"{'fish': 0.9, 'crustaceans': 0.1}",['Gavia adamsii'],46.5533744773511,-87.02620476205398,120.46154739858781,Wetland,Clear,19.476944952676348,06:18
Strix varia,Strigidae,Strigiformes,35.526082675883536,4.16147327105902,763.4979959746294,Nocturnal,2024-10-06,"{'insects': 0.6, 'rodents': 0.4}","['Strix aluco', 'Strix occidentalis']",28.316457310480565,-74.79738987157874,162.90189828081606,Forest,Cloudy,18.96218835538182,23:25
Cygnus olor,Anatidae,Anseriformes,116.30380856254946,10.307629940178693,10604.807043100143,Diurnal,2024-09-14,"{'plants': 0.9, 'insects': 0.1}",['Cygnus atratus'],30.45662360277728,-91.50005937868394,109.23519664932259,Wetland,Clear,20.93030509636543,12:48
Gavia immer,Gaviidae,Gaviiformes,76.50128680890559,9.331412381789033,4439.515122218096,Diurnal,2024-11-11,"{'fish': 0.9, 'crustaceans': 0.1}",['Gavia adamsii'],35.73600941105657,-81.03674978486693,56.67360216363048,Wetland,Clear,17.862005112254625,15:07
Strix varia,Strigidae,Strigiformes,32.86739766234662,4.397718281766266,688.3043921835621,Nocturnal,2025-09-06,"{'insects': 0.6, 'rodents': 0.4}","['Strix aluco', 'Strix occidentalis']",27.945068412823424,-72.19709434182323,442.5070797902234,Forest,Cloudy,9.474679259513445,21:29
Pica pica,Corvidae,Passeriformes,18.26771342112966,3.5673716841884224,207.5749551557448,Diurnal,2024-12-12,"{'insects': 0.5, 'carrion': 0.3, 'seeds': 0.2}",['Pica hudsonia'],28.157708899419063,-115.1974688866432,329.854895106704,Grassland,Rainy,16.4838844954817,16:03
Cygnus olor,Anatidae,Anseriformes,118.71334434397778,9.986410785592973,12968.40815190228,Diurnal,2025-01-02,"{'plants': 0.9, 'insects': 0.1}",['Cygnus atratus'],38.31446276874972,-84.20661085918651,121.93810232983576,Wetland,Foggy,14.985069354196654,16:25
Pica pica,Corvidae,Passeriformes,18.2131001222482,3.1362407367890097,201.53987591590598,Diurnal,2025-02-01,"{'insects': 0.5, 'carrion': 0.3, 'seeds': 0.2}",['Pica hudsonia'],28.398773923563184,-123.01095841075397,325.0635657277045,Grassland,Clear,29.627449379766027,13:46
Strix varia,Strigidae,Strigiformes,36.73250435376591,4.458351651049404,705.1090936223959,Nocturnal,2025-02-03,"{'insects': 0.6, 'rodents': 0.4}","['Strix aluco', 'Strix occidentalis']",33.653303729281475,-71.52819033974961,685.0429136012613,Forest,Windy,28.892850427888938,21:18
Gavia immer,Gaviidae,Gaviiformes,72.775620068724,9.36191851803561,4152.377758874668,Diurnal,2025-08-27,"{'fish': 0.9, 'crustaceans': 0.1}",['Gavia adamsii'],39.37815759811585,-121.603713285319,242.05364230852896,Wetland,Rainy,14.857645360104463,18:01
Pica pica,Corvidae,Passeriformes,20.909784199842527,3.5522044765824714,211.03503099072435,Diurnal,2024-12-20,"{'insects': 0.5, 'carrion': 0.3, 'seeds': 0.2}",['Pica hudsonia'],24.613368401738875,-78.5624245245534,285.62317510803496,Grassland,Rainy,20.089452809550426,13:30
