species_name,taxonomic_family,asdawas,beak_length,nocturnal_diurnal,is_nocturnal,primary_diet
Haemorhous mexicanus,Fringillidae,8.91156072292315,1.2084595336364423,Diurnal,0,seeds
Pica pica,Corvidae,18.831008742960407,3.464735162654236,Diurnal,0,insects
Pica pica,Corvidae,21.63353417277567,3.5949562606268004,Diurnal,0,insects
Pica pica,Corvidae,23.18382963142322,3.4700125485006303,Diurnal,0,insects
Haemorhous mexicanus,Fringillidae,10.638866645642471,1.0719910850988563,Diurnal,0,seeds
Strix varia,Strigidae,37.33262552997259,4.585921518980133,Nocturnal,1,insects
Gavia immer,Gaviidae,71.67413910477201,9.29676679607718,Diurnal,0,fish
Cygnus olor,Anatidae,126.71375640094358,9.40921422520799,Diurnal,0,plants
Gavia immer,Gaviidae,67.97931055986457,9.245940487245363,Diurnal,0,fish
Gavia immer,Gaviidae,65.97944177598126,10.009747283891056,Diurnal,0,fish
Gavia immer,Gaviidae,67.01345272263245,9.2948597275039,Diurnal,0,fish
Strix varia,Strigidae,35.17036297578529,4.407034383070856,Nocturnal,1,insects
Gavia immer,Gaviidae,70.59266748199667,9.351398134028289,Diurnal,0,fish
Cygnus olor,Anatidae,120.81718090630744,9.424229410454677,Diurnal,0,plants
Gavia immer,Gaviidae,70.37152240086678,9.675667245308036,Diurnal,0,fish
Strix varia,Strigidae,35.526082675883536,4.16147327105902,Nocturnal,1,insects
Cygnus olor,Anatidae,116.30380856254946,10.307629940178693,Diurnal,0,plants
Gavia immer,Gaviidae,76.50128680890559,9.331412381789033,Diurnal,0,fish
Strix varia,Strigidae,32.86739766234662,4.397718281766266,Nocturnal,1,insects
Pica pica,Corvidae,18.26771342112966,3.5673716841884224,Diurnal,0,insects
Cygnus olor,Anatidae,118.71334434397778,9.986410785592971,Diurnal,0,plants
Pica pica,Corvidae,18.2131001222482,3.1362407367890097,Diurnal,0,insects
Strix varia,Strigidae,36.73250435376591,4.458351651049404,Nocturnal,1,insects
Gavia immer,Gaviidae,72.775620068724,9.36191851803561,Diurnal,0,fish
Pica pica,Corvidae,20.909784199842527,3.5522044765824714,Diurnal,0,insects
Pica pica,Corvidae,20.207460881366806,3.671951802581874,Diurnal,0,insects
Gavia immer,Gaviidae,77.98280217415291,8.74663031316906,Diurnal,0,fish
Cygnus olor,Anatidae,114.89320498552418,11.145849821257912,Diurnal,0,plants
Gavia immer,Gaviidae,62.70326917073853,9.818604662201109,Diurnal,0,fish
Gavia immer,Gaviidae,71.53212556576149,9.763727157644327,Diurnal,0,fish
Gavia immer,Gaviidae,70.21803630934411,9.98029302201001,Diurnal,0,fish
Pica pica,Corvidae,19.87622671169276,3.14899190566589,Diurnal,0,insects
Strix varia,Strigidae,32.05088452278996,4.541594424581118,Nocturnal,1,insects
Haemorhous mexicanus,Fringillidae,11.003118016780212,1.2073149881411984,Diurnal,0,seeds
Gavia immer,Gaviidae,70.28017972467897,9.938854366451404,Diurnal,0,fish
Gavia immer,Gaviidae,64.82938191659314,9.329145828504222,Diurnal,0,fish
Pica pica,Corvidae,22.82051977538373,3.3122172693899232,Diurnal,0,insects
Gavia immer,Gaviidae,71.46085789587063,9.282715443692652,Diurnal,0,fish
Haemorhous mexicanus,Fringillidae,8.1504686218003,1.2572209664241067,Diurnal,0,seeds
Haemorhous mexicanus,Fringillidae,9.603125661534758,1.2396502067797683,Diurnal,0,seeds
Haemorhous mexicanus,Fringillidae,9.645072166333485,1.2642599183637366,Diurnal,0,seeds
Strix varia,Strigidae,35.67299681549403,4.104597801392907,Nocturnal,1,insects
Cygnus olor,Anatidae,109.5159667136124,10.79795980481478,Diurnal,0,plants
Cygnus olor,Anatidae,119.2080285065365,10.14425804594539,Diurnal,0,plants
Strix varia,Strigidae,28.493245860902167,4.260267753050837,Nocturnal,1,insects
Haemorhous mexicanus,Fringillidae,10.08557483398082,1.060260597164809,Diurnal,0,seeds
Pica pica,Corvidae,20.72728662307667,3.448356258885729,Diurnal,0,insects
Cygnus olor,Anatidae,112.40664540736246,9.872677199214635,Diurnal,0,plants
Gavia immer,Gaviidae,56.12173323330423,9.890865129817367,Diurnal,0,fish
Pica pica,Corvidae,23.763160054331063,3.628997505633816,Diurnal,0,insects
Haemorhous mexicanus,Fringillidae,9.17316243999564,1.3295613934475496,Diurnal,0,seeds
Cygnus olor,Anatidae,108.04646806438676,10.323577292770617,Diurnal,0,plants
Pica pica,Corvidae,22.891641919177616,3.2377973906991655,Diurnal,0,insects
Strix varia,Strigidae,35.28154379470322,3.683519746373676,Nocturnal,1,insects
Haemorhous mexicanus,Fringillidae,10.259613727614145,1.1468903549108722,Diurnal,0,seeds
Haemorhous mexicanus,Fringillidae,9.961590160928742,1.2094660743695538,Diurnal,0,seeds
Cygnus olor,Anatidae,113.93982503054882,10.055154354438146,Diurnal,0,plants
Gavia immer,Gaviidae,70.38811296424802,9.449883029213614,Diurnal,0,fish
Haemorhous mexicanus,Fringillidae,10.732555699872972,1.1764947117304938,Diurnal,0,seeds
Haemorhous mexicanus,Fringillidae,11.248576735920338,1.1807288262903304,Diurnal,0,seeds
Pica pica,Corvidae,19.85491664805383,3.644320431546495,Diurnal,0,insects
Gavia immer,Gaviidae,69.80207222131875,9.913177704376617,Diurnal,0,fish
Haemorhous mexicanus,Fringillidae,10.16519994476696,1.2006209084294224,Diurnal,0,seeds
